Ticker,BH,MDD,R2,Slope,AC5,Align,HitUp,HitDn,UDgap,nUp,nDn,Name,Sector,MCap,MomGap,HoldFit,TimingEdge,Type,Lean,종목구분,섹터구분,구획,추세성,방향,유형3,섹터성격,종목성격,셀4,섹터medR2,추세타이밍_정밀
175330,56.41476274165203,-36.4,0.6126857144192782,0.0015384624517836,0.1308515339218093,0.4716981132075472,0.4876033057851239,0.5789473684210527,-0.5917755643791267,121,38,JB금융지주,금융.증권,48946,-9.134406263592876,-0.2899453591767496,-0.4545186137744217,저신호(애매),0.1645732545976721,홀드,홀드,홀드-홀드,타이밍형,우상향,타이밍형,추세,타이밍,추세-타이밍,0.8083,False
178320,269.04176904176904,-28.171334431630967,0.7926761925989141,0.0046170289820987,-0.1093191336570173,0.5125,0.5797101449275363,0.9090909090909092,-3.350896326716601,138,22,서진시스템,반도체장비,47406,-32.93807641633729,0.5179321989689752,0.000965030985509,혼합형,0.5169671679834662,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
180640,50.817610062893095,-39.47976878612717,0.0003844101571838,2.8605460798757663e-05,0.2159593604518426,0.43125,0.4533333333333333,0.5882352941176471,-2.2373671862263467,75,85,한진칼,해외.운송,79047,-13.490196078431376,-1.1322178598893635,0.4776638413792494,타이밍형(기술분석유효),-1.6098817012686129,타이밍,홀드,홀드-타이밍,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.2774,False
196170,-3.988603988603989,-48.211091234347045,0.0514046269487294,-0.0004172438098019,0.0890705654463391,0.375,0.2988505747126437,0.5567010309278351,-5.9983367288119815,87,97,알테오젠,바이오,185945,-25.78504562151914,-1.4532463952847792,0.9307964477453676,타이밍형(기술분석유효),-2.384042843030147,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5401,False
204320,74.496644295302,-33.05322128851541,0.7193416531861645,0.0026588555286238,-0.2498671835731697,0.5227272727272727,0.625,0.65625,-0.064232472536152,112,64,HL만도,자동차,23479,-3.125,-0.0211640157554672,-0.7380972951223571,저신호(애매),0.7169332793668899,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.7938,False
207940,-16.358528039269505,-36.74300254452925,0.0142268277762569,0.0001450904430144,-0.0096857443217984,0.4275862068965517,0.1967213114754098,0.3809523809523809,-1.0789062495649926,61,84,삼성바이오로직스,바이오,595302,-18.423106947697107,-1.1189148652357783,0.4754721124329377,타이밍형(기술분석유효),-1.594386977668716,타이밍,타이밍,타이밍-타이밍,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5401,False
214150,-31.64852255054432,-44.44444444444444,0.1088068968644435,-0.0004502078220834,0.0203134528508003,0.4574468085106383,0.2891566265060241,0.4,-3.998400768662802,83,105,클래시스,생활.가전,30563,-11.084337349397591,-1.2950549664626905,0.4278965791238203,타이밍형(기술분석유효),-1.7229515455865108,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.2484,False
214370,213.62683438155136,-54.563624250499664,0.7900295114829874,0.0048672915458248,0.1522745599028526,0.3694267515923566,0.4076923076923077,0.8148148148148148,-8.003745959069331,130,27,케어젠,바이오,44046,-40.71225071225071,-0.4783977471334523,0.4925952956169917,타이밍형(기술분석유효),-0.970993042750444,타이밍,타이밍,타이밍-타이밍,추세형,우상향,추세형-우상향,타이밍,추세,타이밍-추세,0.5401,False
214450,-23.240371845949536,-63.57243319268635,0.5481165561238387,-0.0024955338096399,-0.0390969768019699,0.5648535564853556,0.4918032786885246,0.358974358974359,2.602061842926534,122,117,파마리서치,바이오,29974,13.28289197141656,-1.422116846356941,-0.4138900614810074,저신호(애매),-1.0082267848759336,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5401,False
222800,726.5565438373571,-35.15151515151516,0.8705652174877467,0.0064689924347094,-0.1213427779677997,0.5825242718446602,0.6626506024096386,0.75,1.36981813170598,166,40,심텍,반도체장비,49939,-8.734939759036141,1.0350448213632415,-0.7129118403557818,홀드형(추세추종),1.7479566617190234,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
237690,54.43037974683544,-35.09187907528156,0.8356119301909721,0.0028679213145405,-0.201130777366178,0.531578947368421,0.5082872928176796,0.0,10.206840507806358,181,9,에스티팜,생활.제약,25701,50.82872928176796,0.017314599527345,-0.2085160992026431,저신호(애매),0.2258306987299881,홀드,타이밍,타이밍-홀드,추세형,우상향,추세형-우상향,타이밍,추세,타이밍-추세,0.6458,False
